Mouse ID,Session Date,Cohort Name,Date of Birth,Treatment,Viral_Expression
WCL27,092523,FP1_retrained,,,
WCL28,092523,FP1_retrained,,,
WCL29,092523,FP1_retrained,,,
WCL23,092623,FP1_retrained,,,
WCL24,092623,FP1_retrained,,,
WCL27,092623,FP1_retrained,,,
WCL28,092623,FP1_retrained,,,
WCL29,092623,FP1_retrained,,,
WCL23,092723,FP1_retrained,,,
WCL24,092723,FP1_retrained,,,
WCL27,092723,FP1_retrained,,,
WCL28,092723,FP1_retrained,,,
WCL29,092723,FP1_retrained,,,
WCL23,092823,FP1_retrained,,,
WCL24,092823,FP1_retrained,,,
WCL27,092823,FP1_retrained,,,
WCL28,092823,FP1_retrained,,,
WCL29,092823,FP1_retrained,,,
WCL33,072523,FP2,,,
WCL31,072623,FP2,,,
WCL30,072723,FP2,,,
WCL32,072723,FP2,,,
WCL30,073123,FP2,,,
WCL33,073123,FP2,,,
WCL31,080123,FP2,,,
WCL32,080123,FP2,,,
WCL30,080223,FP2,,,
WCL33,080223,FP2,,,
WCL31,080323,FP2,,,
WCL32,080323,FP2,,,
WCL30,080423,FP2,,,
WCL33,080423,FP2,,,
WCL31,080723,FP2,,,
WCL32,080723,FP2,,,
WCL30,080823,FP2,,,
WCL33,080823,FP2,,,
WCL31,080923,FP2,,,
WCL32,080923,FP2,,,
WCL30,081023,FP2,,,
WCL33,081023,FP2,,,
WCL31,081123,FP2,,,
WCL32,081123,FP2,,,
WCL30,081223,FP2,,,
WCL33,081223,FP2,,,
WCL31,081323,FP2,,,
WCL32,081323,FP2,,,
WCL30,081423,FP2,,,
WCL31,081423,FP2,,,
WCL33,081423,FP2,,,
WCL30,081523,FP2,,,
WCL31,081523,FP2,,,
WCL32,081523,FP2,,,
WCL33,081523,FP2,,,
WCL30,081623,FP2,,,
WCL31,081623,FP2,,,
WCL32,081623,FP2,,,
WCL33,081623,FP2,,,
WCL30,081723,FP2,,,
WCL31,081723,FP2,,,
WCL32,081723,FP2,,,
WCL33,081723,FP2,,,
WCL31,081823,FP2,,,
WCL32,081823,FP2,,,
WCL27,082223,FP2,,,
WCL28,082223,FP2,,,
WCL29,082223,FP2,,,
WCL27,082323,FP2,,,
WCL28,082323,FP2,,,
WCL29,082323,FP2,,,
