group,age_bin,mouse,date,hemisphere,window_sec,r,p,n_pts
SM_P70,P70,SM2B,062324,green_l,60.0,-0.23734264389122572,4.876358289313451e-05,287
SM_P70,P70,SM2B,062324,green_l,120.0,-0.1660607227306388,0.004793702809470557,287
SM_P70,P70,SM2B,062324,green_l,180.0,-0.23833601892881198,4.5233706985989255e-05,287
SM_P70,P70,SM2B,062324,green_l,240.0,-0.2746495129980167,2.3158992350223515e-06,287
SM_P70,P70,SM2L,062324,green_l,60.0,-0.30744865924490816,1.8751602575810455e-07,276
SM_P70,P70,SM2L,062324,green_l,120.0,-0.2684027878427769,6.1242740909543645e-06,276
SM_P70,P70,SM2L,062324,green_l,180.0,-0.360590486153028,6.731136065680888e-10,276
SM_P70,P70,SM2L,062324,green_l,240.0,-0.4377956127273972,2.3714554123638938e-14,276
SM_P80,P80,SM1B,062824,green_l,60.0,-0.28689480763045305,2.8824623301407774e-07,309
SM_P80,P80,SM1B,062824,green_l,120.0,-0.19200559231301226,0.0006910753252066655,309
SM_P80,P80,SM1B,062824,green_l,180.0,-0.19691512628096206,0.0004984791189115863,309
SM_P80,P80,SM1B,062824,green_l,240.0,-0.20368583054991327,0.0003135856432316259,309
SM_P80,P80,SM1L,062824,green_l,60.0,-0.07274890953349342,0.19712092919183025,316
SM_P80,P80,SM1L,062824,green_l,120.0,0.3951261484228439,2.98502732469144e-13,316
SM_P80,P80,SM1L,062824,green_l,180.0,0.5148133365490091,8.746214348886932e-23,316
SM_P80,P80,SM1L,062824,green_l,240.0,0.6218995637329788,3.2760069324868406e-35,316
SM_P80,P80,SM2N,062824,green_l,60.0,-0.4114619127641084,3.888077536976154e-14,311
SM_P80,P80,SM2N,062824,green_l,120.0,-0.1885404338483323,0.0008330414798371611,311
SM_P80,P80,SM2N,062824,green_l,180.0,-0.1602101979212929,0.0046217671671356505,311
SM_P80,P80,SM2N,062824,green_l,240.0,-0.10106511347310224,0.07512750295813322,311
SM_P90,P90,SM1B,070824,green_l,60.0,-0.14604635418693873,0.01612703720881703,271
SM_P90,P90,SM1B,070824,green_l,120.0,0.019729956817301927,0.746448189878512,271
