mouse,date,session_dir,error,green_r_valid,green_l_valid,green_r_cohens_d,green_r_p_value,green_r_error,green_l_cohens_d,green_l_p_value,green_l_error,age_bin
SM1B,081524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081524/SM1B,,False,False,0.0669155533874902,0.4054075374011824,,-0.1189043092648616,0.1413174286679238,,P120
SM1L,080724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080724/SM1L,,True,True,-0.4948570855622865,3.434123082460262e-09,,-0.4944254464241193,3.3426254915287233e-09,,P120
SM1L,080924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080924/SM1L,,False,True,0.0140657753573044,0.8620856509281631,,-0.3629876936292016,8.645394707699342e-06,,P120
SM1L,081524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081524/SM1L,,False,False,-0.1528323901122102,0.0609961093925557,,-0.1543259486066892,0.0583629595154066,,P120
SM1N,080824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080824/SM1N,,True,True,-0.6066178227341139,4.5795949717924035e-12,,-0.6054087603219965,4.491059144816656e-12,,P120
SM1N,081224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081224/SM1N,,True,True,0.2115659068584253,0.0235875594479826,,-0.5979050111903615,1.5461572373537488e-10,,P120
SM1N,081424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081424/SM1N,,True,True,0.3026627412798602,0.0037549632542759,,-0.3762846608569823,0.00029550108659,,P120
SM2B,080824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080824/SM2B,,False,True,-0.1090639597384094,0.231894911636068,,-0.5447700513661521,1.7519877034979811e-09,,P120
SM2B,081224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081224/SM2B,,False,True,0.1109681380077612,0.360241061026592,,-0.5365746735787046,1.425079630114166e-05,,P120
SM2B,081424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081424/SM2B,,False,True,0.0153168513215692,0.8969793393606844,,-0.538980145198218,8.74444783473798e-06,,P120
SM2L,080824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080824/SM2L,,True,True,0.2714721583291704,0.0033162289967421,,-0.6677222593375813,1.5428054126926878e-12,,P120
SM2L,081224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081224/SM2L,,True,True,0.4518715499893929,1.221870179125448e-05,,-0.5648298311612653,9.007505821448297e-08,,P120
SM2L,081424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081424/SM2L,,True,True,0.5252600723639947,1.026410393939338e-09,,-0.9624465088296597,1.1822997289086524e-26,,P120
SM2N,080724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080724/SM2N,,False,True,0.0707679922668374,0.4078555210891152,,-0.5938083245803437,1.240320894064014e-11,,P120
SM2N,080924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080924/SM2N,,False,True,0.0721848751637998,0.4029249494417823,,-0.3459016054584723,6.650364876464274e-05,,P120
SM2N,081324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081324/SM2N,,True,True,0.3949117794169165,7.0141254795702015e-06,,-0.2826798943487915,0.0012855969690337,,P120
SM2N,081524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081524/SM2N,,False,True,0.0517742265201255,0.4970861073136146,,-0.4287754206597045,3.7353472571423026e-08,,P120
SM2R,080724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080724/SM2R,,False,True,0.1546817081060541,0.0930469235001018,,-0.4791480243326719,1.8298225844435465e-07,,P120
SM2R,080924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080924/SM2R,,False,True,0.035117605584262,0.7084883281997342,,-0.7721072580987997,3.260270222212764e-16,,P120
SM2R,081324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081324/SM2R,,True,True,0.2251109975816124,0.0141361075522308,,-0.2003555055212592,0.0275212907447984,,P120
SM2R,081524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081524/SM2R,,False,True,0.0607368447026694,0.4854155993606214,,-0.5668868785647221,6.701853637434798e-11,,P120
SM1B,081924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081924/SM1B,,False,False,-0.0030554310085676,0.9716912687225604,,-0.1084091142147267,0.209237012573348,,P130
SM1B,082124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082124/SM1B,,False,True,-0.0176425406095214,0.8583888520131323,,-0.21545286263815536,0.02981422609166038,,P130
SM1B,082324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082324/SM1B,,False,True,-0.02244201287819971,0.8206084455785505,,-0.26316717616346946,0.007956975010346853,,P130
SM1L,081924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081924/SM1L,,False,True,0.0562973204560035,0.5291032013727714,,-0.4510667020346107,5.184001202274084e-07,,P130
SM1L,082124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082124/SM1L,,False,False,-0.04463998277898284,0.5764024557747589,,-0.04635986273528802,0.5619016650006271,,P130
SM1L,082324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082324/SM1L,,True,True,-0.4438707961883479,3.56171745961111e-07,,-0.4700754589521333,5.2890245666797e-08,,P130
SM1N,081624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081624/SM1N,,False,True,0.1043733517522681,0.2225213789912948,,-0.3624512914409725,2.3251445495748694e-05,,P130
SM1N,082024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082024/SM1N,,True,True,0.3453629317620003,0.0001185650477417,,-0.550032748275178,1.288785136475763e-09,,P130
SM2B,081624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081624/SM2B,,False,True,-0.1414399512635992,0.1392044262964739,,-0.8683134921979561,2.522714241233693e-18,,P130
SM2B,082024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082024/SM2B,,False,True,-0.0742906968744295,0.467259940533552,,-0.610709931256535,4.341953510429483e-09,,P130
SM2L,081624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081624/SM2L,,True,True,0.3084242571837319,0.0011767733907754,,-0.5980680651193407,6.04927208718633e-10,,P130
SM2L,082024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082024/SM2L,,True,True,0.3803948249543243,4.598765585728993e-06,,-0.7268776676187015,4.756854298241879e-17,,P130
SM2N,081924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081924/SM2N,,False,True,0.1342485211079813,0.1778008259897525,,-0.4948580440582516,8.768793163808675e-07,,P130
SM2N,082124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082124/SM2N,,False,False,-0.10210391742751589,0.28422894072208194,,-0.11466772971683971,0.23132203179219588,,P130
SM2N,082324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082324/SM2N,,False,False,0.14055988326561736,0.09477605167500537,,0.005881969979708495,0.9439385021576657,,P130
SM2R,081924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081924/SM2R,,False,True,0.0089664173907141,0.9333864231370904,,-0.6492225096055164,1.3464435192424354e-09,,P130
SM2R,082324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/082324/SM2R,,False,True,0.10724377552425607,0.2978210017306423,,-0.4358959630926108,2.5728395206603878e-05,,P130
SM3FR,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM3FR,,True,True,-0.5435100905231969,0.0001220643302715,,-0.5505337652535067,0.0001030674367997,,P140
SM3FR,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM3FR,,True,True,-0.341842203017311,0.0015256681256056,,-0.3548597298417712,0.0010027876106355,,P140
