mouse,date,session_dir,jrgeco_only,error,green_r_carrier_valid,green_r_reward_significant,green_l_carrier_valid,green_l_reward_significant,red_r_carrier_valid,red_r_reward_significant,red_l_carrier_valid,red_l_reward_significant,green_r_detected_freq_hz,green_r_matched_known_freq_hz,green_r_amplitude,green_r_cohens_d,green_r_p_value,green_r_error,green_l_detected_freq_hz,green_l_matched_known_freq_hz,green_l_amplitude,green_l_cohens_d,green_l_p_value,green_l_error,red_r_detected_freq_hz,red_r_matched_known_freq_hz,red_r_amplitude,red_r_cohens_d,red_r_p_value,red_r_error,red_l_detected_freq_hz,red_l_matched_known_freq_hz,red_l_amplitude,red_l_cohens_d,red_l_p_value,red_l_error,age_bin
SM2B,070124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070124/SM2B,True,,False,,True,True,False,,True,True,166.6259765625,,0.010066217870925157,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5838794178363013,-0.5411149560258579,4.4260401715609114e-08,,218.017578125,,0.006153445199244819,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.13873502317111885,-0.7177853077229892,9.788361386135334e-13,,P80
SM2L,070124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070124/SM2L,False,,True,True,True,True,False,,True,False,166.6259765625,167.0,0.0347609249685688,-0.3441019664342867,0.0004668894839282274,,166.6259765625,167.0,0.5821808561937312,-0.37431175977230713,0.00014333751397376071,,218.8720703125,,0.006296223549079075,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05216276217874215,-0.07099534243462378,0.4682480119232333,,P80
SM1B,070224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070224/SM1B,True,,False,,True,True,False,,True,True,166.6259765625,,0.010322685032710208,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.583178347042052,-0.35612377415114893,0.0008830011056810482,,223.7548828125,,0.006481696088683855,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.10179148612700152,-0.33863915398191335,0.0018939091389184733,,P80
SM1L,070224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070224/SM1L,False,,True,False,True,False,False,,True,False,166.6259765625,167.0,0.16817619422827407,-0.06667112797576145,0.4987710219469357,,166.6259765625,167.0,0.576907954523735,-0.07320759959216629,0.4576069127042973,,222.16796875,,0.008321163793560541,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.06506020021831764,-0.04041238144678262,0.6823767366082167,,P80
SM2N,070224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070224/SM2N,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.032666888136989355,0.090395958083733,0.32326169534030635,,166.6259765625,167.0,0.5827694049428875,0.07154966640909895,0.4338269373290732,,224.4873046875,,0.006792126213599979,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.06059352366961572,-0.2589758752136054,0.005082032596171117,,P80
SM2R,070224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070224/SM2R,False,,True,False,True,True,False,,True,True,166.6259765625,167.0,0.07440738056858437,-0.1756999397468804,0.06053849788003051,,166.6259765625,167.0,0.5809907343132898,-0.20417378719958887,0.028311626789120588,,222.16796875,,0.007122123202811445,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.10168425546342302,-0.4473518145007533,2.214156871566852e-06,,P80
SM1N,070324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070324/SM1N,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.056776527140843615,-0.7362372517359589,0.0005044245416945184,,166.6259765625,167.0,0.5839038845028549,-0.7051069453997934,0.0008564511500481277,,218.1396484375,,0.0069238576635306925,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05843997846743731,-0.6287061653732546,0.0026962925352804535,,P80
SM2B,070324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070324/SM2B,True,,False,,True,True,False,,True,True,166.6259765625,,0.010116092341994589,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5843912366063768,-0.424857919755281,6.556289198427941e-05,,222.16796875,,0.00786840966717884,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.11603654896002588,-0.6679629009039028,4.6606967429072e-10,,P80
SM2L,070324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070324/SM2L,False,,True,True,True,True,False,,True,False,166.6259765625,167.0,0.06696659526718073,-0.5056942798535832,6.365357649436398e-07,,166.6259765625,167.0,0.5744181714497186,-0.47693685295618937,2.4558901709398536e-06,,221.5576171875,,0.006794966787178178,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05045975142984838,-0.12298871720752463,0.22298270409519255,,P80
SM1B,070824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070824/SM1B,True,,False,,True,True,False,,True,True,166.6259765625,,0.010126059297404382,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5835720360341482,-0.2863323429652244,0.0080123870169273,,222.16796875,,0.00834391540432504,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.34185449025927866,-0.3365377282325182,0.0019161326938375283,,P90
