mouse,date,alpha,beta,kappa,nll,n_trials,group,frac_forced_trials,reward_probs_observed,cohort,cohort_family,condition,age_days,age_bin
WCL27,092023,0.7471099478494044,2.284592333979501,1.1887920972670993,142.62833985550432,556,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,154.0,
WCL27,092223,0.7781339795288681,2.324037723426037,1.2510105549651362,170.3799307499009,674,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,156.0,
WCL28,081623,0.7123851040022408,1.661226678576367,1.2216907651861726,150.60080754941725,432,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,119.0,
WCL28,081823,0.9494913312375284,1.608190512316687,1.182765850696117,132.6032212594286,408,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,121.0,
WCL28,091523,0.7552935198069758,2.5845845590035657,0.9039559873311639,148.55700544740168,549,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,149.0,
WCL28,091923,0.7455210675377382,3.2591105005066883,0.6111765701307526,131.9840577189459,541,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,153.0,
WCL28,092123,0.9505773548038009,1.9606402435369905,1.1024556142563775,158.4195187529611,552,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,155.0,
WCL29,081523,0.9689599013889565,1.3045172060177215,0.7123582556721916,182.7672446941877,397,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,118.0,
WCL29,081723,0.7986134284836981,2.1231159286747134,0.9420307785025059,163.57650187284338,530,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,120.0,
WCL29,091223,0.901586342358176,2.154649118916954,0.7983263135019618,140.45488734193535,450,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,146.0,
WCL29,091423,0.7460532784065672,1.7285696490607483,1.435578916597436,143.94116983652444,499,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,148.0,
WCL29,091823,0.9182355408027469,2.2057178684710013,1.1631327067612207,137.62355989749057,496,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,152.0,
WCL29,092023,0.7318074307836829,3.248318823162462,0.598803669095599,124.25871952774834,540,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,154.0,
WCL29,092223,0.9999,1.623982100366321,1.1155136543716229,190.12214157581565,546,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,156.0,
WCL30,072723,0.5150969834402489,0.8246856287195833,1.4987014894058728,191.2911711027666,450,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,149.0,
WCL30,073123,0.9999,1.5286481254632978,1.087760150483254,152.77014476005948,416,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,153.0,
WCL30,080223,0.719949125939366,0.9965285120142309,1.5973983796076365,166.03198743396013,461,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,155.0,
WCL30,080423,0.8598782393315507,1.6708681020473723,1.0722785271238162,121.86941556296415,351,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,157.0,
WCL30,080823,0.9999,1.549021900838052,0.9925593107302605,129.5326400750633,353,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,161.0,
WCL30,081023,0.6876577941082657,2.212987377104462,0.9841828688087758,143.6610220190001,478,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,163.0,
WCL31,080123,0.8290546370099616,2.557965981024028,0.8007943940807783,133.86493378501373,465,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,154.0,
WCL31,080323,0.7217216061894955,3.4717383417965033,0.808472454160125,108.32327893200456,453,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,156.0,
WCL31,080723,0.9722685069383644,1.3935970947155036,1.0997355343073425,152.95568585014772,393,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,160.0,
WCL31,080923,0.8739921481762296,2.0209946785575434,0.8585030445999369,148.61786243126397,453,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,162.0,
WCL31,081123,0.9999,1.9301899031171512,1.273971763071631,129.52516072600898,452,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,164.0,
WCL31,081323,0.8899542536596821,1.3387327325188392,1.1370192619078476,187.720885318706,480,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,166.0,
WCL31,081423,0.7732646873198314,2.96101312740717,0.7685122264624022,129.6463043268292,513,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,167.0,
WCL32,080123,0.7927891364727099,1.9331845920046957,0.5412000730994799,199.4104298636467,499,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,154.0,
WCL32,080323,0.8565410772020063,1.8112512813879986,0.5639265765423446,158.70469700140174,381,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,156.0,
WCL32,080723,0.8271619319382072,1.7467984848430742,0.797595514072108,144.67580248244428,367,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,160.0,
